epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6999,0.64953,1.36985,3.10739,1.03289,0,0.00333,1,0.33532,0.31385,0.00333,1,0.33532,0.29031,0.40558,0.88231,2.91774,0.81309,0,6e-05,6e-05,6e-05
2,6.45951,0.62474,1.32639,3.00834,1.0599,0,0.00333,1,0.93556,0.88206,0.00333,1,0.93556,0.86781,0.4025,0.54976,2.83095,0.77248,0,0.000137228,0.000137228,0.000137228
3,8.59027,0.4242,0.53905,1.95729,0.87074,0,0.1916,1,0.995,0.91804,0.1916,1,0.995,0.95412,0.40024,0.5204,2.51892,0.76151,0,0.000211288,0.000211288,0.000211288
4,10.0343,0.49131,0.51125,1.22805,0.84674,0,0.0079,1,0.995,0.89514,0.0079,1,0.995,0.97412,0.45347,0.37962,2.67306,0.80701,0,0.00028218,0.00028218,0.00028218
5,11.4175,0.57722,0.57339,1.25999,0.9198,0,1,0.72474,0.995,0.93304,1,0.72474,0.995,0.96475,0.41132,0.43985,2.56727,0.77408,0,0.000349904,0.000349904,0.000349904
6,12.8415,0.51595,0.45134,1.09914,0.85683,0,1,0.64667,0.995,0.94504,1,0.64667,0.995,0.92713,0.41321,0.57763,2.52353,0.78267,0,0.00041446,0.00041446,0.00041446
7,14.2865,0.444,0.42145,1.07548,0.8972,0,1,0.88454,0.995,0.93075,1,0.88454,0.995,0.95109,0.3913,0.43863,2.57605,0.77589,0,0.000475848,0.000475848,0.000475848
8,15.7546,0.50843,0.41742,1.07529,0.86004,0,1,0.67453,0.995,0.9528,1,0.67453,0.995,0.9508,0.43628,0.54771,2.65501,0.78884,0,0.000534068,0.000534068,0.000534068
9,17.1877,0.50862,0.44472,1.04117,0.8624,0,1,0.87559,0.995,0.88476,1,0.87559,0.995,0.90909,0.50168,0.75063,2.44256,0.80336,0,0.00058912,0.00058912,0.00058912
10,18.7614,0.49034,0.43601,1.00774,0.88764,0,1,0.84164,0.98591,0.93362,1,0.84164,0.98591,0.87938,0.47651,0.94256,2.51912,0.80402,0,0.000641004,0.000641004,0.000641004
11,21.0174,0.54002,0.50275,1.0108,0.90808,0,0.88637,1,0.98591,0.8309,0.88637,1,0.98591,0.91637,0.4739,0.65086,2.18841,0.82205,0,0.00068972,0.00068972,0.00068972
12,22.5321,0.53693,0.47907,0.97746,0.91074,0,0.97844,1,0.995,0.90626,0.97844,1,0.995,0.94566,0.47186,0.44165,2.17694,0.78965,0,0.000735268,0.000735268,0.000735268
13,23.9187,0.49216,0.42249,0.97867,0.90734,0,0.9769,1,0.995,0.87193,0.9769,1,0.995,0.87387,0.60184,0.67305,2.11281,0.86351,0,0.000777648,0.000777648,0.000777648
14,25.2945,0.55936,0.41811,1.03546,0.90955,0,0.97972,1,0.995,0.87905,0.97972,1,0.995,0.8336,0.48986,1.05379,1.9212,0.81406,0,0.00081686,0.00081686,0.00081686
15,26.6755,0.51703,0.39761,0.94616,0.88344,0,0.98416,1,0.995,0.84943,0.98416,1,0.995,0.97612,0.57944,0.33681,1.84487,0.84262,0,0.000852904,0.000852904,0.000852904
16,28.0761,0.51204,0.4717,0.93857,0.87311,0,0.98966,1,0.995,0.88644,0.98966,1,0.995,0.97612,0.45009,0.34573,1.65219,0.8001,0,0.00088578,0.00088578,0.00088578
17,29.5123,0.43593,0.34751,0.8716,0.89485,0,0.99445,1,0.995,0.89943,0.99445,1,0.995,0.98202,0.46817,0.32948,1.40022,0.79643,0,0.000915488,0.000915488,0.000915488
18,30.9065,0.46256,0.42717,0.90446,0.87199,0,0.99257,1,0.995,0.93521,0.99257,1,0.995,0.98502,0.35818,0.34944,1.31417,0.75276,0,0.000942028,0.000942028,0.000942028
19,34.2354,0.44463,0.37073,0.79165,0.89505,0,0.98604,1,0.995,0.9309,0.98604,1,0.995,0.995,0.40003,0.36839,1.33192,0.77037,0,0.0009654,0.0009654,0.0009654
20,35.7181,0.47983,0.45174,0.82744,0.87528,0,0.99108,1,0.995,0.91242,0.99108,1,0.995,0.95974,0.46201,0.36057,1.31827,0.80391,0,0.000985604,0.000985604,0.000985604
21,37.1014,0.47269,0.39095,0.83835,0.89188,0,0.99125,1,0.995,0.92807,0.99125,1,0.995,0.94465,0.49844,0.51612,1.20427,0.8296,0,0.00100264,0.00100264,0.00100264
22,38.4286,0.45095,0.40632,0.80843,0.8587,0,0.99119,1,0.995,0.89532,0.99119,1,0.995,0.97702,0.45685,0.38775,1.13291,0.82477,0,0.00101651,0.00101651,0.00101651
23,39.7911,0.50806,0.48497,0.92567,0.87315,0,0.99093,1,0.995,0.91429,0.99093,1,0.995,0.97607,0.41561,0.44298,1.04881,0.81064,0,0.00102721,0.00102721,0.00102721
24,41.1706,0.47015,0.44375,0.825,0.89036,0,0.99346,1,0.995,0.89042,0.99346,1,0.995,0.97607,0.50263,0.36211,1.08131,0.82115,0,0.00103474,0.00103474,0.00103474
25,42.5279,0.48753,0.38635,0.78692,0.8761,0,0.99407,1,0.995,0.88844,0.99407,1,0.995,0.97607,0.49835,0.35637,1.07067,0.81597,0,0.0010391,0.0010391,0.0010391
26,43.9214,0.44215,0.33397,0.77349,0.86295,0,0.99412,1,0.995,0.9152,0.99412,1,0.995,0.995,0.43886,0.35078,0.9854,0.7862,0,0.00101,0.00101,0.00101
27,45.7448,0.45297,0.36135,0.74055,0.85484,0,0.99372,1,0.995,0.90443,0.99372,1,0.995,0.995,0.44266,0.32732,0.93303,0.78211,0,0.0009704,0.0009704,0.0009704
28,47.684,0.40006,0.35902,0.72274,0.86364,0,0.9946,1,0.995,0.90443,0.9946,1,0.995,0.97617,0.43267,0.327,0.95542,0.78769,0,0.0009308,0.0009308,0.0009308
29,49.0536,0.4149,0.34171,0.76965,0.87783,0,0.99468,1,0.995,0.95913,0.99468,1,0.995,0.97607,0.37999,0.31955,0.95633,0.79304,0,0.0008912,0.0008912,0.0008912
30,50.4246,0.42172,0.3654,0.723,0.84198,0,0.9946,1,0.995,0.94019,0.9946,1,0.995,0.97928,0.3453,0.28981,0.88346,0.78861,0,0.0008516,0.0008516,0.0008516
31,51.7904,0.40883,0.36383,0.65187,0.84293,0,0.99485,1,0.995,0.93248,0.99485,1,0.995,0.98131,0.36369,0.27776,0.82248,0.78347,0,0.000812,0.000812,0.000812
32,53.1771,0.4249,0.39182,0.7106,0.85472,0,0.99498,1,0.995,0.93248,0.99498,1,0.995,0.97607,0.38042,0.28252,0.79097,0.78609,0,0.0007724,0.0007724,0.0007724
33,54.545,0.38672,0.3634,0.71197,0.8518,0,0.99514,1,0.995,0.95204,0.99514,1,0.995,0.995,0.38067,0.28794,0.67141,0.79041,0,0.0007328,0.0007328,0.0007328
34,55.9578,0.39548,0.31407,0.74948,0.85109,0,0.99504,1,0.995,0.92029,0.99504,1,0.995,0.995,0.38002,0.28568,0.67682,0.79336,0,0.0006932,0.0006932,0.0006932
35,57.3258,0.39556,0.31407,0.66122,0.83821,0,0.99494,1,0.995,0.92894,0.99494,1,0.995,0.995,0.37419,0.2921,0.65172,0.77654,0,0.0006536,0.0006536,0.0006536
36,59.3116,0.35999,0.32104,0.64409,0.83813,0,0.99488,1,0.995,0.94004,0.99488,1,0.995,0.97702,0.37485,0.30011,0.63518,0.76954,0,0.000614,0.000614,0.000614
37,61.1558,0.38684,0.404,0.65973,0.84827,0,0.99458,1,0.995,0.95004,0.99458,1,0.995,0.98402,0.36622,0.30397,0.59423,0.77467,0,0.0005744,0.0005744,0.0005744
38,62.4953,0.37661,0.36779,0.65902,0.84053,0,0.99364,1,0.995,0.96059,0.99364,1,0.995,0.98502,0.37724,0.2915,0.58697,0.78426,0,0.0005348,0.0005348,0.0005348
39,63.8556,0.40115,0.36257,0.6406,0.83056,0,0.99261,1,0.995,0.94263,0.99261,1,0.995,0.98502,0.37615,0.27764,0.59092,0.78185,0,0.0004952,0.0004952,0.0004952
40,65.2548,0.42192,0.30384,0.66,0.85246,0,0.99258,1,0.995,0.95504,0.99258,1,0.995,0.995,0.33864,0.27686,0.52505,0.7743,0,0.0004556,0.0004556,0.0004556
41,69.1011,0.30883,0.28137,0.79494,0.81899,0,0.99463,1,0.995,0.93631,0.99463,1,0.995,0.97902,0.30366,0.2778,0.52839,0.76078,0,0.000416,0.000416,0.000416
42,70.5079,0.31417,0.25812,0.74117,0.76821,0,0.99483,1,0.995,0.97058,0.99483,1,0.995,0.995,0.29412,0.27641,0.54042,0.75591,0,0.0003764,0.0003764,0.0003764
43,72.2267,0.29549,0.28092,0.75272,0.81827,0,0.99486,1,0.995,0.95304,0.99486,1,0.995,0.995,0.32483,0.27428,0.53622,0.76449,0,0.0003368,0.0003368,0.0003368
44,74.0281,0.27107,0.24493,0.7282,0.81089,0,0.99481,1,0.995,0.96703,0.99481,1,0.995,0.995,0.31253,0.27306,0.54569,0.76193,0,0.0002972,0.0002972,0.0002972
45,75.379,0.26115,0.24592,0.71405,0.81902,0,0.99475,1,0.995,0.96403,0.99475,1,0.995,0.97802,0.28106,0.27428,0.53016,0.75763,0,0.0002576,0.0002576,0.0002576
46,76.706,0.26699,0.23456,0.71663,0.81004,0,0.99466,1,0.995,0.96678,0.99466,1,0.995,0.97802,0.273,0.27609,0.50062,0.75613,0,0.000218,0.000218,0.000218
47,77.9762,0.27138,0.25028,0.71351,0.78212,0,0.99481,1,0.995,0.96947,0.99481,1,0.995,0.97902,0.27666,0.27584,0.48856,0.75294,0,0.0001784,0.0001784,0.0001784
48,79.2409,0.24346,0.2588,0.701,0.77668,0,0.99504,1,0.995,0.95637,0.99504,1,0.995,0.97902,0.27546,0.27406,0.47382,0.75046,0,0.0001388,0.0001388,0.0001388
49,80.5116,0.24177,0.25171,0.68311,0.80656,0,0.99511,1,0.995,0.95637,0.99511,1,0.995,0.97902,0.26986,0.27214,0.45134,0.74896,0,9.92e-05,9.92e-05,9.92e-05
50,81.8472,0.23064,0.24396,0.67303,0.81171,0,0.99516,1,0.995,0.95726,0.99516,1,0.995,0.995,0.26015,0.27064,0.43829,0.74795,0,5.96e-05,5.96e-05,5.96e-05
